work_year,role,remote_ratio
2020,Analyst,69.23076923076923
2020,Data Engineer,75.0
2020,Data Scientist,58.333333333333336
2020,Director,100.0
2020,ML Engineer,50.0
2020,Manager,100.0
2020,Other,75.0
2020,Research,25.0
2021,Analyst,81.03448275862068
2021,Architect,100.0
2021,Data Engineer,67.6470588235294
2021,Data Scientist,63.888888888888886
2021,Director,40.0
2021,ML Engineer,71.66666666666667
2021,Manager,66.66666666666667
2021,Other,82.5
2021,Research,59.09090909090909
2022,Analyst,75.32467532467533
2022,Architect,100.0
2022,Data Engineer,77.22222222222223
2022,Data Scientist,67.90123456790124
2022,Director,90.0
2022,ML Engineer,70.6896551724138
2022,Manager,100.0
2022,Other,50.0
2022,Research,50.0
